id,type,identifier,label,familyName,givenName,sortLabel,officialFamilyName,officialGivenName
person/28150,Person,28150,Kinga GÁL,Gál,Kinga,GAL,NA,NA
person/4746,Person,4746,Sergio BERLATO,Berlato,Sergio,BERLATO,NA,NA
person/197545,Person,197545,Bogdan RZOŃCA,Rzońca,Bogdan,RZONCA,NA,NA
person/197802,Person,197802,Ville NIINISTÖ,Niinistö,Ville,NIINISTO,NA,NA
person/197464,Person,197464,Hannah NEUMANN,Neumann,Hannah,NEUMANN,NA,NA
person/233862,Person,233862,Matjaž NEMEC,Nemec,Matjaž,NEMECM,NA,NA
person/30482,Person,30482,Younous OMARJEE,Omarjee,Younous,OMARJEE,NA,NA
person/103246,Person,103246,Auke ZIJLSTRA,Zijlstra,Auke,ZIJLSTRA,NA,NA
person/236050,Person,236050,Marie DAUCHY,Dauchy,Marie,DAUCHY,NA,NA
person/256919,Person,256919,Christophe GOMART,Gomart,Christophe,GOMARTC,NA,NA
person/197591,Person,197591,Irene TINAGLI,Tinagli,Irene,TINAGLI,NA,NA
person/96812,Person,96812,Juan Fernando LÓPEZ AGUILAR,López Aguilar,Juan Fernando,LOPEZAGUILAR,NA,NA
person/197701,Person,197701,Konstantinos ARVANITIS,Arvanitis,Konstantinos,ARVANITIS,Αρβανίτης,Κωνσταντίνος
person/256884,Person,256884,Kris VAN DIJCK,Van Dijck,Kris,VANDIJCKK,NA,NA
person/96752,Person,96752,Martin HÄUSLING,Häusling,Martin,HAUSLING,NA,NA
person/220897,Person,220897,Petra STEGER,Steger,Petra,STEGERP,NA,NA
person/197863,Person,197863,Maria WALSH,Walsh,Maria,WALSH,NA,NA
person/28617,Person,28617,Inese VAIDERE,Vaidere,Inese,VAIDERE,NA,NA
person/118949,Person,118949,Ondřej KOVAŘÍK,Kovařík,Ondřej,KOVARIK,NA,NA
person/197662,Person,197662,Vangelis MEIMARAKIS,Meimarakis,Vangelis,MEIMARAKIS,Μεϊμαράκης,Βαγγέλης
person/229839,Person,229839,René REPASI,Repasi,René,REPASI,NA,NA
person/204346,Person,204346,Dominik TARCZYŃSKI,Tarczyński,Dominik,TARCZYŃSKI,NA,NA
person/204333,Person,204333,Salvatore DE MEO,De Meo,Salvatore,DEMEO,NA,NA
person/96756,Person,96756,Sabine VERHEYEN,Verheyen,Sabine,VERHEYEN,NA,NA
person/197699,Person,197699,Elena KOUNTOURA,Kountoura,Elena,KOUNTOURA,Κουντουρά,Έλενα
person/245018,Person,245018,Christophe CLERGEAU,Clergeau,Christophe,CLERGEAU,NA,NA
person/256823,Person,256823,Nikolas FARANTOURIS,Farantouris,Nikolas,FARANTOURISN,Φαραντούρης,Νικόλας
person/96761,Person,96761,Axel VOSS,Voss,Axel,VOSS,NA,NA
person/256889,Person,256889,Liesbet SOMMEN,Sommen,Liesbet,SOMMENL,NA,NA
person/197461,Person,197461,Katrin LANGENSIEPEN,Langensiepen,Katrin,LANGENSIEPEN,NA,NA
person/96780,Person,96780,Monika HOHLMEIER,Hohlmeier,Monika,HOHLMEIER,NA,NA
person/197636,Person,197636,Ioan-Rareş BOGDAN,Bogdan,Ioan-Rareş,BOGDAN,NA,NA
person/256829,Person,256829,Sakis ARNAOUTOGLOU,Arnaoutoglou,Sakis,ARNAOUTOGLOUS,Αρναούτογλου,Σάκης
person/256868,Person,256868,Péter MAGYAR,Magyar,Péter,MAGYARP,NA,NA
person/190713,Person,190713,Lukas MANDL,Mandl,Lukas,MANDL,NA,NA
person/127766,Person,127766,Jussi SARAMO,Saramo,Jussi,SARAMOJ,NA,NA
person/208722,Person,208722,Sara MATTHIEU,Matthieu,Sara,MATTHIEUS,NA,NA
person/197398,Person,197398,Pär HOLMGREN,Holmgren,Pär,HOLMGREN,NA,NA
person/124893,Person,124893,Bogdan Andrzej ZDROJEWSKI,Zdrojewski,Bogdan Andrzej,ZDROJEWSKI,NA,NA
person/256906,Person,256906,Claire FITA,Fita,Claire,FITAC,NA,NA
person/191693,Person,191693,Elsi KATAINEN,Katainen,Elsi,KATAINEN,NA,NA
person/197401,Person,197401,Karin KARLSBRO,Karlsbro,Karin,KARLSBRO,NA,NA
person/197558,Person,197558,Asger CHRISTENSEN,Christensen,Asger,CHRISTENSENA,NA,NA
person/197543,Person,197543,Bernard GUETTA,Guetta,Bernard,GUETTA,NA,NA
person/256859,Person,256859,Annamária VICSEK,Vicsek,Annamária,VICSEKA,NA,NA
person/106936,Person,106936,Daniel FREUND,Freund,Daniel,FREUNDD,NA,NA
person/88882,Person,88882,Victor NEGRESCU,Negrescu,Victor,NEGRESCU,NA,NA
person/198076,Person,198076,Maria OHISALO,Ohisalo,Maria,OHISALOM,NA,NA
person/197572,Person,197572,Anna ZALEWSKA,Zalewska,Anna,ZALEWSKA,NA,NA
person/112747,Person,112747,Romana JERKOVIĆ,Jerković,Romana,JERKOVIC,NA,NA
person/218347,Person,218347,Thijs REUTEN,Reuten,Thijs,REUTEN,NA,NA
person/197721,Person,197721,César LUENA,Luena,César,LUENA,NA,NA
person/256885,Person,256885,Bruno TOBBACK,Tobback,Bruno,TOBBACKB,NA,NA
person/256875,Person,256875,Matthieu VALET,Valet,Matthieu,VALETM,NA,NA
person/128483,Person,128483,Markus BUCHHEIT,Buchheit,Markus,BUCHHEIT,NA,NA
person/197435,Person,197435,Gabriele BISCHOFF,Bischoff,Gabriele,BISCHOFF,NA,NA
person/247735,Person,247735,Laura BALLARÍN CEREZA,Ballarín Cereza,Laura,BALLARINCEREZA,NA,NA
person/197820,Person,197820,Nicola PROCACCINI,Procaccini,Nicola,PROCACCINI,NA,NA
person/40224,Person,40224,Andi CRISTEA,Cristea,Andi,CRISTEA,NA,NA
person/197687,Person,197687,Philippe OLIVIER,Olivier,Philippe,OLIVIER,NA,NA
person/125027,Person,125027,Esteban GONZÁLEZ PONS,González Pons,Esteban,GONZALEZPONS,NA,NA
person/110673,Person,110673,Ana Miguel PEDRO,Pedro,Ana Miguel,PEDROA,NA,NA
person/256915,Person,256915,Mélissa CAMARA,Camara,Mélissa,CAMARAM,NA,NA
person/124785,Person,124785,Maria GRAPINI,Grapini,Maria,GRAPINI,NA,NA
person/256903,Person,256903,Thomas PELLERIN-CARLIN,Pellerin-Carlin,Thomas,PELLERINCARLINT,NA,NA
person/124877,Person,124877,Jadwiga WIŚNIEWSKA,Wiśniewska,Jadwiga,WISNIEWSKA,NA,NA
person/129073,Person,129073,Urmas PAET,Paet,Urmas,PAET,NA,NA
person/197655,Person,197655,Cristian TERHEŞ,Terheş,Cristian,TERHES,NA,NA
person/197439,Person,197439,Damian BOESELAGER,Boeselager,Damian,BOESELAGER,NA,NA
person/197840,Person,197840,Rasa JUKNEVIČIENĖ,Juknevičienė,Rasa,JUKNEVICIENE,NA,NA
person/124828,Person,124828,Fulvio MARTUSCIELLO,Martusciello,Fulvio,MARTUSCIELLO,NA,NA
person/1294,Person,1294,Elio DI RUPO,Di Rupo,Elio,DIRUPO,NA,NA
person/202073,Person,202073,Marc ANGEL,Angel,Marc,ANGEL,NA,NA
person/197402,Person,197402,Tomas TOBÉ,Tobé,Tomas,TOBE,NA,NA
person/237465,Person,237465,Matthias ECKE,Ecke,Matthias,ECKE,NA,NA
person/197460,Person,197460,Sergey LAGODINSKY,Lagodinsky,Sergey,LAGODINSKY,NA,NA
person/197552,Person,197552,Veronika VRECIONOVÁ,Vrecionová,Veronika,VRECIONOVA,NA,NA
person/197624,Person,197624,Ivars IJABS,Ijabs,Ivars,IJABS,NA,NA
person/124836,Person,124836,Maria NOICHL,Noichl,Maria,NOICHL,NA,NA
person/197514,Person,197514,Andrzej HALICKI,Halicki,Andrzej,HALICKI,NA,NA
person/197679,Person,197679,Isabel BENJUMEA BENJUMEA,Benjumea Benjumea,Isabel,BENJUMEABENJUMEA,NA,NA
person/256831,Person,256831,Sophia KIRCHER,Kircher,Sophia,KIRCHERS,NA,NA
person/125068,Person,125068,Emmanouil KEFALOGIANNIS,Kefalogiannis,Emmanouil,KEFALOGIANNIS,Κεφαλογιάννης,Εμμανουήλ
person/124861,Person,124861,Caterina CHINNICI,Chinnici,Caterina,CHINNICI,NA,NA
person/197780,Person,197780,Bart GROOTHUIS,Groothuis,Bart,GROOTHUIS,NA,NA
person/256908,Person,256908,François KALFON,Kalfon,François,KALFONF,NA,NA
person/125325,Person,125325,Sander SMIT,Smit,Sander,SMITS,NA,NA
person/192254,Person,192254,Marieke EHLERS,Ehlers,Marieke,EHLERSM,NA,NA
person/96833,Person,96833,Jens GEIER,Geier,Jens,GEIER,NA,NA
person/236053,Person,236053,Marina MESURE,Mesure,Marina,MESURE,NA,NA
person/256918,Person,256918,Céline IMART,Imart,Céline,IMARTC,NA,NA
person/38511,Person,38511,Georg MAYER,Mayer,Georg,MAYER,NA,NA
person/197784,Person,197784,Susana SOLÍS PÉREZ,Solís Pérez,Susana,SOLISPEREZ,NA,NA
person/28347,Person,28347,Javier MORENO SÁNCHEZ,Moreno Sánchez,Javier,MORENOSANCHEZ,NA,NA
person/197425,Person,197425,Ralf SEEKATZ,Seekatz,Ralf,SEEKATZ,NA,NA
person/204332,Person,204332,Barry ANDREWS,Andrews,Barry,ANDREWSB,NA,NA
person/98219,Person,98219,Aura SALLA,Salla,Aura,SALLAA,NA,NA
person/197549,Person,197549,Markéta GREGOROVÁ,Gregorová,Markéta,GREGOROVA,NA,NA
person/99878,Person,99878,Waldemar BUDA,Buda,Waldemar,BUDAW,NA,NA
person/197773,Person,197773,Bert-Jan RUISSEN,Ruissen,Bert-Jan,RUISSEN,NA,NA
person/256907,Person,256907,Reinis POZŅAKS,Pozņaks,Reinis,POZNAKSR,NA,NA
